id,ranking,temp_ranking,previous_ranking,company_name,city,country,state,current_employees,last_employees,employee_growth,founded,total_funding,linkedin_url,url,Industry,Points,valuation,valuation_as_of,Contact Data
1012380,21,,,"poolside","Paris","FRA",,203,64,214.29,,"$626M","http://www.linkedin.com/company/poolsideai","poolside.ai","AI",2063,3000000000,"October 2024"," For Contacts and mobile phone number see lead411"
973363,22,,,"Harvey","San Francisco","United States","CA",2150,900,138.89,2022,"$516M","http://www.linkedin.com/company/harvey-ai","harvey.ai","AI",2038,11000000000,"February 2026"," For Contacts and mobile phone number see lead411"
1045223,23,,,"Cognition AI","New York","United States","NY",222,110,101.82,,"$342M","http://www.linkedin.com/company/cognition-ai-labs","cognition.ai","AI",2029,10200000000,"September 2025"," For Contacts and mobile phone number see lead411"
1012409,24,,,"Decagon","San Francisco","United States","CA",295,160,84.38,,"$200M","http://www.linkedin.com/company/decagon-ai","decagon.ai","AI",2026,4500000000,"January 2026"," For Contacts and mobile phone number see lead411"
372339,25,,,"Runway ML","New York","United States","NY",343,209,64.09,2018,"$544M","http://www.linkedin.com/company/runwayml","runwayml.com","AI",2008,3000000000,"April 2025"," For Contacts and mobile phone number see lead411"
885018,26,,,"Halcyon","Austin","United States","TX",292,180,61.94,2021,"$364M","http://www.linkedin.com/company/halcyonai","halcyon.ai","IT Security",1987,1000000000,"November 2024"," For Contacts and mobile phone number see lead411"
326583,27,,,"Helion Energy","Everett","United States","WA",584,352,65.91,,"$1.03B","http://www.linkedin.com/company/helion-energy","helionenergy.com","Environmental",1977,15500000000,"June 2026"," For Contacts and mobile phone number see lead411"
479681,28,,,"Vultr","West Palm Beach","United States","FL",235,155,51.8,,"$333M","http://www.linkedin.com/company/vultr","vultr.com","SaaS",1972,3500000000,"December 2024"," For Contacts and mobile phone number see lead411"
484721,29,,,"Second Front Systems","Wilmington","United States","DE",155,123,25.41,2014,"$150M","http://www.linkedin.com/company/secondfront","secondfront.com","SaaS",1953,750000000,"September 2024"," For Contacts and mobile phone number see lead411"
390689,30,,,"RadAI","Berkeley","United States","CA",193,140,37.82,2018,"$60M","http://www.linkedin.com/company/radai","radai.com","AI",1867,525000000,"January 2025"," For Contacts and mobile phone number see lead411"
977226,31,,,"Luma AI","San Francisco","United States","CA",166,55,202.08,2021,"$114M","http://www.linkedin.com/company/luma-ai","lumalabs.ai","AI",1857,300000000,"January 2024"," For Contacts and mobile phone number see lead411"
98061,32,1855,,"Groq","Mountain View","United States","CA",1026,714,43.7,2016,"$2.55B","http://www.linkedin.com/company/groq","groq.com","AI",1846,6900000000,"September 2025"," For Contacts and mobile phone number see lead411"
967996,33,,,"Neko Health","Stockholm","SWE",,258,121,112.82,2018,"$331M","http://www.linkedin.com/company/nekohealth","nekohealth.com","Hospital/Healthcare",1840,1700000000,"January 2025"," For Contacts and mobile phone number see lead411"
390625,34,,,"QuEra Computing","Boston","United States","MA",100,71,41.94,2018,"$277M","http://www.linkedin.com/company/quera-computing-inc","quera.com","Research",1838,1000000000,"February 2025"," For Contacts and mobile phone number see lead411"
319735,35,,,"Lambda","San Francisco","United States","CA",569,409,39,2012,"$1.37B","http://www.linkedin.com/company/lambda-labs","lambdalabs.com","Hardware",1831,2500000000,"February 2024"," For Contacts and mobile phone number see lead411"
1012449,36,,,"Cyberhaven","Palo Alto","United States","CA",228,135,68.97,2016,"$236M","http://www.linkedin.com/company/cyberhaven","cyberhaven.com","IT Security",1818,500000000,"April 2025"," For Contacts and mobile phone number see lead411"
480484,37,,,"Island","Dallas","United States","TX",778,519,49.89,2020,"$800M","http://www.linkedin.com/company/island-io","island.io","SaaS",1816,4800000000,"March 2025"," For Contacts and mobile phone number see lead411"
369870,38,,,"N8n","Berlin","DEU",,848,260,226.15,2019,"$73.5M","http://www.linkedin.com/company/n8n","n8n.io","AI",1810,2500000000,"October 2025"," For Contacts and mobile phone number see lead411"
377779,39,,,"BaseTen","San Francisco","United States","CA",114,49,132.65,,"$135M","http://www.linkedin.com/company/baseten","baseten.co","DevOps",1810,2150000000,"September 2025"," For Contacts and mobile phone number see lead411"
378110,40,,,"Bilt Rewards","New York","United States","NY",300,229,31.61,2021,"$563M","http://www.linkedin.com/company/biltrewards","biltrewards.com","Fintech",1805,3100000000,"January 2024"," For Contacts and mobile phone number see lead411"
897682,41,,,"Hebbia AI","New York","United States","NY",136,66,105.17,2020,"$159M","http://www.linkedin.com/company/hebbia","hebbia.ai","AI",1801,700000000,"June 2024"," For Contacts and mobile phone number see lead411"
11016,42,177,,"ZUM","Redwood City","United States","CA",528,393,34.26,,"$350M","http://www.linkedin.com/company/ridezum","ridezum.com","Transportation",1789,1300000000,"February 2024"," For Contacts and mobile phone number see lead411"
898930,43,,,"Riot","San Francisco","United States","CA",129,78,65.71,2020,"$41.9M","http://www.linkedin.com/company/tryriot","tryriot.com","IT Security",1783,170000000,"February 2025"," For Contacts and mobile phone number see lead411"
174670,44,,,"Ayar Labs","San Jose","United States","CA",203,180,13.04,2015,"$374M","http://www.linkedin.com/company/ayar-labs","ayarlabs.com","Hardware",1780,1000000000,"December 2024"," For Contacts and mobile phone number see lead411"
966675,45,,,"Upwind","San Francisco","United States","USA","CA",344,124,177.42,2022,"$177M","http://www.linkedin.com/company/upwindsecurity","upwind.io","IT Security",1779,1500000000,"January 2026"," For Contacts and mobile phone number see lead411"
1012425,46,,,"Crusoe","Denver","United States","CO",668,386,73.07,2018,"$1.82B","http://www.linkedin.com/company/crusoe","crusoe.ai","AI",1770,2800000000,"December 2024"," For Contacts and mobile phone number see lead411"
471593,47,,,"Cynomi","Herzliya","ISR",,85,46,82.93,2020,"$60M","http://www.linkedin.com/company/cynomi","cynomi.com","IT Security",1760,140000000,"April 2025"," For Contacts and mobile phone number see lead411"
977479,48,,,"Windsurf","Mountain View","United States","CA",258,54,380.49,,"$243M","http://www.linkedin.com/company/windsurf","windsurf.com","AI",1751,1250000000,"August 2024"," For Contacts and mobile phone number see lead411"
195597,49,,,"Just Salad","New York","United States","NY",626,522,19.67,,"$436M","http://www.linkedin.com/company/just-salad","justsalad.com","Restaurants",1741,1000000000,"February 2025"," For Contacts and mobile phone number see lead411"
394078,50,,,"Tines","Dublin","IRL",,432,321,34.51,2018,"$272M","http://www.linkedin.com/company/tines-io","tines.com","IT Security",1738,1130000000,"February 2025"," For Contacts and mobile phone number see lead411"
1012439,52,,,"Hightouch","San Francisco","United States","CA",381,244,55.98,,"$172M","http://www.linkedin.com/company/hightouchio","hightouch.com","AI",1725,1200000000,"February 2025"," For Contacts and mobile phone number see lead411"
175385,53,,,"Nerdio","Chicago","United States","IL",336,206,63.74,2016,"$627M","http://www.linkedin.com/company/getnerdio","getnerdio.com","SaaS",1696,1200000000,"March 2025"," For Contacts and mobile phone number see lead411"
972736,54,,,"EliseAI","New York","United States","NY",285,165,72.85,2017,"$172M","http://www.linkedin.com/company/eliseai","eliseai.com","AI",1685,1000000000,"August 2024"," For Contacts and mobile phone number see lead411"
341348,55,,,"Farther Finance","New York","United States","NY",616,300,105.33,2019,"$124M","http://www.linkedin.com/company/fartherfinance","farther.com","Finance",1682,1000000000,"May 2026"," For Contacts and mobile phone number see lead411"
315975,56,,,"Nimble","San Francisco","United States","CA",253,204,24.1,2017,"$221M","http://www.linkedin.com/company/nimble-robotics","nimble.ai","Logistics",1677,1000000000,"October 2024"," For Contacts and mobile phone number see lead411"
172180,57,,,"Enfinity Global","Madrid","ESP",,223,164,35.84,2006,"$867M","http://www.linkedin.com/company/enfinity","enfinity.global","Environmental",1673,,," For Contacts and mobile phone number see lead411"
977467,58,,,"Quantinuum","Broomfield","United States","CO",664,563,17.84,2021,"$325M","http://www.linkedin.com/company/quantinuumqc","quantinuum.com","Fintech",1670,5000000000,"January 2024"," For Contacts and mobile phone number see lead411"
752104,59,,,"Bending Spoons","Milan","ITA",,587,471,24.38,2013,"$747M","http://www.linkedin.com/company/bendingspoons","bendingspoons.com","SaaS",1669,2600000000,"February 2024"," For Contacts and mobile phone number see lead411"
1012400,60,,,"11x","San Francisco","United States","CA",244,39,1056.67,2023,"$76.1M","http://www.linkedin.com/company/11x-ai","11x.ai","AI",1639,350000000,"October 2024"," For Contacts and mobile phone number see lead411"
977486,61,,,"Antithesis","Vienna","United States","VA",106,73,46.3,,"$47M","http://www.linkedin.com/company/antithesis-operations","antithesis.com","DevOps",1631,215000000,"February 2024"," For Contacts and mobile phone number see lead411"
175631,62,,,"OLIPOP PBC","Oakland","United States","CA",440,267,64.61,2017,"$243M","http://www.linkedin.com/company/olipop-pbc","drinkolipop.com","Food",1628,1850000000,"February 2025"," For Contacts and mobile phone number see lead411"
314244,63,,,"Truveta","Seattle","United States","WA",387,359,7.89,2020,"$515M","http://www.linkedin.com/company/truveta","truveta.com","Digital Health",1621,1000000000,"January 2025"," For Contacts and mobile phone number see lead411"
985946,64,,,"Dream","Tel-Aviv","ISR",,198,121,63.89,2022,"$154M","http://www.linkedin.com/company/dreamsecurity","dreamgroup.com","IT Security",1596,1100000000,"February 2025"," For Contacts and mobile phone number see lead411"
1012424,65,,,"Speak","San Francisco","United States","CA",240,163,46.9,,"$161M","http://www.linkedin.com/company/usespeak","speak.com","AI",1590,1000000000,"December 2024"," For Contacts and mobile phone number see lead411"
328825,66,,,"Nirvana","San Francisco","United States","CA",246,75,228,2020,"$162M","http://www.linkedin.com/company/nirvana-tech","nirvanatech.com","Insurance",1582,1500000000,"December 2025"," For Contacts and mobile phone number see lead411"
315401,68,,,"Hugging Face","New York","United States","NY",571,369,54.68,2016,"$395M","http://www.linkedin.com/company/huggingface","huggingface.co","AI",1581,4500000000,"August 2023"," For Contacts and mobile phone number see lead411"
1012379,69,,,"Pika","Palo Alto","United States","CA",204,80,158.06,2023,"$141M","http://www.linkedin.com/company/pika-labs","pika.art","AI",1561,470000000,"June 2024"," For Contacts and mobile phone number see lead411"
175624,70,,,"BuildOps","Santa Monica","United States","CA",522,360,45,2018,"$273M","http://www.linkedin.com/company/buildops","buildops.com","DevOps",1551,1000000000,"March 2025"," For Contacts and mobile phone number see lead411"
373901,71,,,"Tailscale","Toronto","CAN","ON",196,159,23.36,2019,"$277M","http://www.linkedin.com/company/tailscale","tailscale.com","IT Security",1537,1500000000,"April 2025"," For Contacts and mobile phone number see lead411"
1012400,72,,,"Crescendo","San Francisco","United States","CA",73,26,175,,"$50M","http://www.linkedin.com/company/crescendocx","crescendo.ai","AI",1535,500000000,"October 2024"," For Contacts and mobile phone number see lead411"
374115,73,,,"Temporal Technologies","Bellevue","United States","WA",331,265,25.12,2019,"$349M","http://www.linkedin.com/company/temporal-technologies","temporal.io","DevOps",1528,1720000000,"April 2025"," For Contacts and mobile phone number see lead411"
384282,74,,,"Hostaway","Miami","United States","FL",274,195,40.7,2015,"$178M","http://www.linkedin.com/company/hostaway","hostaway.com","SaaS",1521,925000000,"December 2024"," For Contacts and mobile phone number see lead411"
977506,75,,,"HeyGen","Los Angeles","United States","CA",218,80,170.59,2020,"$65.6M","http://www.linkedin.com/company/heygen","heygen.com","AI",1506,500000000,"June 2024"," For Contacts and mobile phone number see lead411"
471143,76,,,"Cortex","San Francisco","United States","CA",138,96,44.33,2019,"$113M","http://www.linkedin.com/company/cortexapp","cortex.io","SaaS",1505,470000000,"September 2024"," For Contacts and mobile phone number see lead411"
